"voice","displayText","expectedText","transcript","similarity","semanticIssue","staticIssues","transcriptionError","bytes","durationSeconds","lessons","relativePath"
"marin","a","a","","","","","","19968","1.248","125","public/audio/tts/library/marin/a-87428fc522803d31.mp3"
"cedar","a","a","","","","","","26496","1.656","125","public/audio/tts/library/cedar/a-87428fc522803d31.mp3"
"marin","a blessing in disguise","a blessing in disguise","","","","","","31488","1.968","","public/audio/tts/library/marin/a-blessing-in-disguise-8dc8fff5013dcf37.mp3"
"cedar","a blessing in disguise","a blessing in disguise","","","","","","31488","1.968","","public/audio/tts/library/cedar/a-blessing-in-disguise-8dc8fff5013dcf37.mp3"
"marin","a little","a little","","","","","","17664","1.104","129","public/audio/tts/library/marin/a-little-ba40ecbbeeca79ac.mp3"
"cedar","a little","a little","","","","","","19968","1.248","129","public/audio/tts/library/cedar/a-little-ba40ecbbeeca79ac.mp3"
"marin","a lot of","a lot of","","","","","","32256","2.016","128|129","public/audio/tts/library/marin/a-lot-of-caeee3cf22acda05.mp3"
"cedar","a lot of","a lot of","","","","","","26496","1.656","128|129","public/audio/tts/library/cedar/a-lot-of-caeee3cf22acda05.mp3"
"marin","a lot of / lots of","a lot of, or lots of","","","","","","44160","2.76","","public/audio/tts/library/marin/a-lot-of-lots-of-9e6a03af67fb9ee1.mp3"
"cedar","a lot of / lots of","a lot of, or lots of","","","","","","41856","2.616","","public/audio/tts/library/cedar/a-lot-of-lots-of-9e6a03af67fb9ee1.mp3"
"marin","a.m.","a.m.","","","","","","21888","1.368","31","public/audio/tts/library/marin/a-m-0cdb352b9ee8df43.mp3"
"cedar","a.m.","a.m.","","","","","","28800","1.8","31","public/audio/tts/library/cedar/a-m-0cdb352b9ee8df43.mp3"
"marin","a pair of","a pair of","","","","","","38400","2.4","","public/audio/tts/library/marin/a-pair-of-a7b039bdd6d9034f.mp3"
"cedar","a pair of","a pair of","","","","","","24192","1.512","","public/audio/tts/library/cedar/a-pair-of-a7b039bdd6d9034f.mp3"
"marin","a piece of cake","a piece of cake","","","","","","27264","1.704","","public/audio/tts/library/marin/a-piece-of-cake-c0ed9f50c2916e81.mp3"
"cedar","a piece of cake","a piece of cake","","","","","","28032","1.752","","public/audio/tts/library/cedar/a-piece-of-cake-c0ed9f50c2916e81.mp3"
"marin","a set of","a set of","","","","","","22656","1.416","","public/audio/tts/library/marin/a-set-of-95112f95d16a9be4.mp3"
"cedar","a set of","a set of","","","","","","18432","1.152","","public/audio/tts/library/cedar/a-set-of-95112f95d16a9be4.mp3"
"marin","able","able","","","","","","21888","1.368","16","public/audio/tts/library/marin/able-881d2d1ae582bdb3.mp3"
"cedar","able","able","","","","","","35328","2.208","16","public/audio/tts/library/cedar/able-881d2d1ae582bdb3.mp3"
"marin","about","about","","","","","","33024","2.064","132","public/audio/tts/library/marin/about-6505b068a611ccac.mp3"
"cedar","about","about","","","","","","16896","1.056","132","public/audio/tts/library/cedar/about-6505b068a611ccac.mp3"
"marin","above","above","","","","","","25728","1.608","130","public/audio/tts/library/marin/above-b7b492fc71761e37.mp3"
"cedar","above","above","","","","","","19200","1.2","130","public/audio/tts/library/cedar/above-b7b492fc71761e37.mp3"
"marin","above one's head","above one's head","","","","","","26496","1.656","","public/audio/tts/library/marin/above-ones-head-2ac4732f5cfa0cc5.mp3"
"cedar","above one's head","above one's head","","","","","","28032","1.752","","public/audio/tts/library/cedar/above-ones-head-2ac4732f5cfa0cc5.mp3"
"marin","abroad","abroad","","","","","","19968","1.248","","public/audio/tts/library/marin/abroad-032a4bafaa1aca87.mp3"
"cedar","abroad","abroad","","","","","","19968","1.248","","public/audio/tts/library/cedar/abroad-032a4bafaa1aca87.mp3"
"marin","absent","absent","","","","","","17664","1.104","75","public/audio/tts/library/marin/absent-7925d3e9a9613a09.mp3"
"cedar","absent","absent","","","","","","15360","0.96","75","public/audio/tts/library/cedar/absent-7925d3e9a9613a09.mp3"
"marin","accept","accept","","","","","","21120","1.32","115","public/audio/tts/library/marin/accept-a7569daef68e7aa9.mp3"
"cedar","accept","accept","","","","","","44160","2.76","115","public/audio/tts/library/cedar/accept-a7569daef68e7aa9.mp3"
"marin","accident","accident","","","","","","26496","1.656","95","public/audio/tts/library/marin/accident-af76b143ca437195.mp3"
"cedar","accident","accident","","","","","","28800","1.8","95","public/audio/tts/library/cedar/accident-af76b143ca437195.mp3"
"marin","account for","account for","","","","","","19968","1.248","","public/audio/tts/library/marin/account-for-b837a2f56ea054fe.mp3"
"cedar","account for","account for","","","","","","21888","1.368","","public/audio/tts/library/cedar/account-for-b837a2f56ea054fe.mp3"
"marin","across","across","","","","","","15360","0.96","132","public/audio/tts/library/marin/across-712d606e22948cf9.mp3"
"cedar","across","across","","","","","","19968","1.248","132","public/audio/tts/library/cedar/across-712d606e22948cf9.mp3"
"marin","across from","across from","","","","","","25728","1.608","","public/audio/tts/library/marin/across-from-37480432ebfc0225.mp3"
"cedar","across from","across from","","","","","","21120","1.32","","public/audio/tts/library/cedar/across-from-37480432ebfc0225.mp3"
"marin","act","act","","","","","","19968","1.248","4","public/audio/tts/library/marin/act-4147b372ff856a30.mp3"
